measure,method,bank,n,mean_norm,lower_norm,upper_norm,width_norm,width_original
pos_error_l2,sim2real,Sim_35,1,0.29981261800689807,0.0,1.0,1.0,0.1
pos_error_l2,sim2real,Sim_35,2,0.2648652810597568,0.0,1.0,1.0,0.1
pos_error_l2,sim2real,Sim_35,3,0.30176901327364103,0.0,1.0,1.0,0.1
pos_error_l2,sim2real,Sim_35,4,0.23913568675547078,0.0,1.0,1.0,0.1
pos_error_l2,sim2real,Sim_35,5,0.19851804608448984,0.0,0.6,0.6,0.06
pos_error_l2,sim2real,Sim_35,6,0.18893976900577777,0.0,0.54,0.54,0.054000000000000006
pos_error_l2,sim2real,Sim_35,7,0.20225676895308603,0.0,0.52,0.52,0.052000000000000005
pos_error_l2,sim2real,Sim_35,8,0.20335996354581024,0.04,0.5,0.46,0.046000000000000006
pos_error_l2,sim2real,Sim_35,9,0.1857260856757919,0.04,0.46,0.42000000000000004,0.04200000000000001
pos_error_l2,sim2real,Sim_35,10,0.220282143556671,0.08,0.46,0.38,0.038000000000000006
pos_error_l2,sim2real,Sim_35,11,0.21931318541144143,0.08,0.44,0.36,0.036
pos_error_l2,sim2real,Sim_35,12,0.20530966889762747,0.08,0.42,0.33999999999999997,0.033999999999999996
pos_error_l2,sim2real,Sim_35,13,0.22989298201948724,0.1,0.42,0.31999999999999995,0.031999999999999994
pos_error_l2,sim2real,Sim_35,14,0.224436647171829,0.1,0.42,0.31999999999999995,0.031999999999999994
pos_error_l2,sim2real,Sim_35,15,0.21676087542654088,0.1,0.4,0.30000000000000004,0.030000000000000006
pos_error_l2,sim2real,Sim_35,16,0.24819959537475,0.12,0.4,0.28,0.028000000000000004
pos_error_l2,sim2real,Sim_35,17,0.24209351492873968,0.12,0.4,0.28,0.028000000000000004
pos_error_l2,sim2real,Sim_35,18,0.232372884093506,0.12,0.4,0.28,0.028000000000000004
pos_error_l2,sim2real,Sim_35,19,0.22371425851848653,0.12,0.38,0.26,0.026000000000000002
pos_error_l2,sim2real,Sim_35,20,0.23134804219952038,0.12,0.38,0.26,0.026000000000000002
pos_error_l2,sim2real,Sim_35,21,0.2234231640448996,0.12,0.38,0.26,0.026000000000000002
pos_error_l2,sim2real,Sim_35,22,0.2228061183189471,0.12,0.36,0.24,0.024
pos_error_l2,sim2real,Sim_35,23,0.22991322748019966,0.12,0.36,0.24,0.024
pos_error_l2,sim2real,Sim_35,24,0.22217469968176437,0.12,0.36,0.24,0.024
pos_error_l2,sim2real,Sim_35,25,0.22384431646385003,0.12,0.36,0.24,0.024
pos_error_l2,sim2real,Sim_35,26,0.23304648577672255,0.12,0.36,0.24,0.024
pos_error_l2,sim2real,Sim_35,27,0.22956205317673084,0.12,0.34,0.22000000000000003,0.022000000000000006
pos_error_l2,sim2real,Sim_35,28,0.2374042283732492,0.12,0.34,0.22000000000000003,0.022000000000000006
pos_error_l2,sim2real,Sim_35,29,0.2356678025089408,0.12,0.34,0.22000000000000003,0.022000000000000006
pos_error_l2,sim2real,Sim_35,30,0.2294229450007507,0.12,0.34,0.22000000000000003,0.022000000000000006
pos_error_l2,sim2real,Sim_252,1,0.29981261800689807,0.0,1.0,1.0,0.1
pos_error_l2,sim2real,Sim_252,2,0.2648652810597568,0.0,1.0,1.0,0.1
pos_error_l2,sim2real,Sim_252,3,0.30176901327364103,0.0,1.0,1.0,0.1
pos_error_l2,sim2real,Sim_252,4,0.23913568675547078,0.0,1.0,1.0,0.1
pos_error_l2,sim2real,Sim_252,5,0.19851804608448984,0.0,0.590625,0.590625,0.0590625
pos_error_l2,sim2real,Sim_252,6,0.18893976900577777,0.0,0.54125,0.54125,0.054125000000000006
pos_error_l2,sim2real,Sim_252,7,0.20225676895308603,0.0,0.514375,0.514375,0.051437500000000004
pos_error_l2,sim2real,Sim_252,8,0.20335996354581024,0.034375,0.48687499999999995,0.45249999999999996,0.04525
pos_error_l2,sim2real,Sim_252,9,0.1857260856757919,0.036250000000000004,0.451875,0.415625,0.0415625
pos_error_l2,sim2real,Sim_252,10,0.220282143556671,0.08374999999999999,0.451875,0.36812500000000004,0.036812500000000005
pos_error_l2,sim2real,Sim_252,11,0.21931318541144143,0.094375,0.44125000000000003,0.34687500000000004,0.0346875
pos_error_l2,sim2real,Sim_252,12,0.20530966889762747,0.094375,0.41500000000000004,0.32062500000000005,0.03206250000000001
pos_error_l2,sim2real,Sim_252,13,0.22989298201948724,0.11187499999999999,0.41500000000000004,0.30312500000000003,0.030312500000000006
pos_error_l2,sim2real,Sim_252,14,0.224436647171829,0.11437499999999999,0.40750000000000003,0.293125,0.029312500000000005
pos_error_l2,sim2real,Sim_252,15,0.21676087542654088,0.11437499999999999,0.39,0.275625,0.027562500000000004
pos_error_l2,sim2real,Sim_252,16,0.24819959537475,0.133125,0.39,0.256875,0.025687500000000002
pos_error_l2,sim2real,Sim_252,17,0.24209351492873968,0.13375,0.39,0.25625,0.025625
pos_error_l2,sim2real,Sim_252,18,0.232372884093506,0.13375,0.39,0.25625,0.025625
pos_error_l2,sim2real,Sim_252,19,0.22371425851848653,0.13375,0.375625,0.24187499999999998,0.0241875
pos_error_l2,sim2real,Sim_252,20,0.23134804219952038,0.135,0.375625,0.24062499999999998,0.0240625
pos_error_l2,sim2real,Sim_252,21,0.2234231640448996,0.135,0.36312500000000003,0.22812500000000002,0.022812500000000003
pos_error_l2,sim2real,Sim_252,22,0.2228061183189471,0.135,0.35687499999999994,0.22187499999999993,0.022187499999999995
pos_error_l2,sim2real,Sim_252,23,0.22991322748019966,0.14125000000000001,0.35687499999999994,0.21562499999999993,0.021562499999999995
pos_error_l2,sim2real,Sim_252,24,0.22217469968176437,0.14125000000000001,0.3475,0.20624999999999996,0.020624999999999998
pos_error_l2,sim2real,Sim_252,25,0.22384431646385003,0.14125000000000001,0.344375,0.20312499999999997,0.020312499999999997
pos_error_l2,sim2real,Sim_252,26,0.23304648577672255,0.148125,0.344375,0.19624999999999998,0.019625
pos_error_l2,sim2real,Sim_252,27,0.22956205317673084,0.148125,0.3425,0.19437500000000002,0.019437500000000003
pos_error_l2,sim2real,Sim_252,28,0.2374042283732492,0.15375000000000003,0.3425,0.18875,0.018875000000000003
pos_error_l2,sim2real,Sim_252,29,0.2356678025089408,0.15437500000000004,0.34125000000000005,0.186875,0.018687500000000003
pos_error_l2,sim2real,Sim_252,30,0.2294229450007507,0.15437500000000004,0.333125,0.17874999999999996,0.017875
pos_error_l2,sim2real,Sim_756,1,0.29981261800689807,0.0,1.0,1.0,0.1
pos_error_l2,sim2real,Sim_756,2,0.2648652810597568,0.0,1.0,1.0,0.1
pos_error_l2,sim2real,Sim_756,3,0.30176901327364103,0.0,1.0,1.0,0.1
pos_error_l2,sim2real,Sim_756,4,0.23913568675547078,0.0,1.0,1.0,0.1
