t,err_vx,err_vy,err_lin,err_yaw
0.000000,-0.006071,-0.005315,0.008069,-0.061098
0.019799,-0.001351,-0.001065,0.001720,0.002238
0.040067,0.000708,0.001416,0.001583,0.021054
0.060070,-0.000562,-0.002405,0.002470,0.002358
0.080026,-0.000042,-0.000813,0.000814,-0.000914
0.100004,0.003831,-0.011068,0.011712,-0.043581
0.119911,-0.000111,-0.017877,0.017877,-0.049871
0.139726,-0.008392,0.006223,0.010448,-0.151404
0.159735,0.039542,-0.013969,0.041937,0.044648
0.179894,0.043053,-0.008340,0.043853,0.049840
0.199862,0.063022,-0.005606,0.063271,0.049384
0.219764,0.077026,-0.020779,0.079780,-0.068359
0.239879,0.106843,-0.019375,0.108586,0.024057
0.259840,0.119065,-0.026082,0.121888,0.085290
0.280042,0.147838,-0.022096,0.149480,0.151066
0.299728,0.175733,-0.023775,0.177334,-0.008461
0.319749,0.192911,0.070674,0.205449,-0.276621
0.339723,0.208131,0.123442,0.241984,-0.310887
0.359723,0.281088,0.012883,0.281383,0.171567
0.379864,0.290299,0.062910,0.297037,-0.086572
0.399892,0.204418,-0.017974,0.205207,-0.969001
0.419898,0.267857,0.148758,0.306392,0.579923
0.439732,0.218087,0.179786,0.282639,0.561548
0.459889,0.202067,0.144441,0.248383,0.072758
0.480072,0.123412,0.199148,0.234287,-0.810441
0.500196,0.214530,0.160261,0.267781,0.003985
0.519994,0.185619,0.163171,0.247142,-0.176080
0.540096,0.144202,0.190172,0.238662,-0.106095
0.559965,0.140229,0.159530,0.212401,0.109781
0.579815,0.143111,0.131327,0.194236,0.302746
0.599760,0.175484,0.099527,0.201743,0.347613
0.619764,0.175394,0.078068,0.191984,0.202630
0.639726,0.177044,0.035741,0.180616,-0.193895
0.659712,0.182631,-0.018067,0.183522,-0.229434
0.679923,0.202167,-0.043919,0.206883,-0.120008
0.699936,0.213212,-0.051649,0.219379,-0.008720
0.719975,0.199716,-0.078182,0.214474,0.105371
0.740033,0.229144,-0.043399,0.233218,0.709832
0.759990,0.206265,-0.085973,0.223465,0.691490
0.779903,0.212248,-0.160875,0.266327,0.071321
0.799886,0.220171,-0.195029,0.294129,0.016314
0.819719,0.216131,-0.202024,0.295848,0.263683
0.839754,0.216840,-0.161813,0.270561,0.608223
0.859771,0.194574,-0.371262,0.419159,-0.614595
0.879924,0.215879,-0.266934,0.343304,0.135122
0.899710,0.194336,-0.189155,0.271194,0.640334
0.919808,0.177791,-0.186401,0.257595,0.551519
0.940088,0.178690,-0.218077,0.281936,0.064719
0.960060,0.188410,-0.195065,0.271199,-0.309289
0.980166,0.175995,-0.156931,0.235800,-0.438471
1.000053,0.147335,-0.006375,0.147473,1.126258
