t,err_weighted
0.000000,0.131466
0.019872,0.115195
0.039910,0.103240
0.060021,0.099649
0.079864,0.095650
0.099836,0.089231
0.119901,0.083172
0.140138,0.079719
0.159873,0.070171
0.180016,0.060378
0.199826,0.038446
0.219871,0.016508
0.239889,0.035823
0.259877,0.042837
0.279874,0.058950
0.299868,0.084832
0.319875,0.105664
0.340071,0.135365
0.359993,0.153841
0.379908,0.159680
0.399883,0.157959
0.419832,0.151081
0.439874,0.126442
0.459863,0.102569
0.480240,0.164705
0.500073,0.220065
0.520037,0.223532
0.539924,0.205405
0.559822,0.211544
0.580536,0.170406
0.600171,0.142094
0.620052,0.127007
0.640051,0.110883
0.659930,0.101787
0.680171,0.115814
0.700060,0.108354
0.719919,0.153641
0.739888,0.374107
0.759823,0.333717
0.779848,0.189377
0.799834,0.154085
0.819989,0.185139
0.839999,0.169044
0.859859,0.131701
0.879889,0.122365
0.899959,0.126518
0.919860,0.128791
0.939926,0.107487
0.959853,0.114077
0.980267,0.157958
1.000174,0.085659
1.020060,0.225513
1.039840,0.226169
1.059835,0.183486
1.079969,0.182745
1.099891,0.158820
1.119937,0.125308
1.139998,0.097174
1.159814,0.063198
1.179881,0.048844
1.199826,0.057337
1.219911,0.061703
1.240034,0.056271
1.259949,0.058681
1.279963,0.061455
1.299893,0.162184
1.319867,0.119260
1.339824,0.154898
1.359843,0.366015
1.379836,0.284481
1.399817,0.174690
1.419880,0.148679
1.439842,0.175923
1.459866,0.169568
1.480232,0.129658
1.499967,0.131389
1.520040,0.151512
1.540141,0.142723
1.559968,0.141562
1.579876,0.125093
1.599819,0.097109
1.619894,0.180847
1.639997,0.169990
1.659812,0.262798
1.679898,0.169787
1.699897,0.132927
1.719839,0.141730
1.739920,0.131495
1.759828,0.091288
1.779949,0.056807
1.799820,0.059781
1.820079,0.064640
1.839901,0.064509
1.859945,0.051447
1.879826,0.080746
1.899819,0.122238
1.919889,0.307688
1.939907,0.274588
1.959853,0.459460
1.979944,0.405974
1.999974,0.340888
2.019899,0.276415
2.039882,0.235869
2.059847,0.216011
2.079854,0.200283
2.099860,0.200353
2.119841,0.195985
2.139848,0.194419
2.160084,0.213048
2.179861,0.174512
2.199815,0.142480
2.219830,0.159745
2.239915,0.185945
2.259878,0.196969
2.279901,0.142011
2.299989,0.107429
2.319845,0.109957
2.339869,0.100116
2.360020,0.084210
2.379822,0.059512
2.399848,0.057786
2.419819,0.068536
2.439889,0.050807
2.459874,0.063140
2.480256,0.055669
2.499902,0.097213
2.519852,0.304201
2.539876,0.365761
2.559829,0.501610
2.579872,0.388884
2.600347,0.284247
2.620074,0.290360
2.640199,0.261745
2.659937,0.236933
2.679983,0.206791
2.700081,0.178602
2.719830,0.157519
2.739828,0.140532
2.759901,0.142014
2.779836,0.121800
2.799838,0.122670
2.819826,0.228356
2.839843,0.228659
2.859819,0.257620
2.879858,0.187827
2.900115,0.138698
2.919977,0.128645
2.940036,0.095229
2.959853,0.064930
2.979934,0.048848
3.000028,0.043149
3.019884,0.046174
3.039875,0.051832
3.060089,0.047305
3.079889,0.057588
3.100056,0.087242
3.120002,0.308378
3.140027,0.287409
3.159924,0.415463
3.180115,0.353909
3.200004,0.252850
3.220137,0.231116
3.239823,0.232671
3.259898,0.222501
3.279852,0.202686
3.299867,0.189675
3.320116,0.169317
3.339971,0.160352
3.359895,0.135652
3.379975,0.130007
3.399910,0.112468
3.419909,0.243967
3.439838,0.276449
3.459891,0.259868
3.480286,0.125732
3.499981,0.105426
3.519883,0.118441
3.539839,0.082918
3.559878,0.061520
3.579889,0.048773
3.599816,0.047581
3.619867,0.031526
3.639853,0.067724
3.659862,0.052200
3.679938,0.049080
3.699860,0.079002
3.719870,0.247394
3.740186,0.300903
3.760018,0.441943
3.779977,0.472944
3.799967,0.220483
3.819826,0.108353
3.839840,0.065688
3.859826,0.059761
3.879877,0.078644
3.900092,0.039491
3.919844,0.047211
3.939898,0.056707
3.959871,0.087319
3.980008,0.081333
3.999995,0.075601
4.019950,0.206163
4.039918,0.173477
