t,err_weighted
0.000000,0.081334
0.020057,0.074341
0.040207,0.072974
0.060011,0.061462
0.080040,0.053151
0.100051,0.045239
0.120049,0.042172
0.140001,0.043635
0.160095,0.045775
0.180010,0.127996
0.200294,0.165505
0.220063,0.176652
0.240051,0.212170
0.260050,0.210903
0.280275,0.206840
0.300045,0.167857
0.320056,0.175399
0.339996,0.169102
0.360245,0.158282
0.380000,0.155873
0.400038,0.222518
0.420038,0.152339
0.439999,0.147946
0.460046,0.135913
0.480065,0.138927
0.500204,0.082556
0.520047,0.085721
0.540058,0.065166
0.560046,0.059727
0.580047,0.084509
0.600155,0.072228
0.620058,0.080420
0.640082,0.094147
0.660063,0.107850
0.680054,0.115313
0.700060,0.110343
0.720124,0.116521
0.740184,0.099854
0.760004,0.139863
0.780067,0.209626
0.800128,0.171029
0.820280,0.129765
0.840003,0.120619
0.860005,0.092782
0.880040,0.092851
0.900042,0.078056
0.920055,0.063975
0.939998,0.085767
0.960001,0.102535
0.980041,0.111596
1.000074,0.109045
1.020001,0.086324
1.039992,0.148962
1.060040,0.207342
1.080055,0.218088
1.099991,0.158979
1.120042,0.165780
1.140037,0.111299
1.160039,0.076523
1.179992,0.046000
1.200041,0.041761
1.220052,0.052275
1.240299,0.054900
1.260066,0.048770
1.280220,0.068222
1.300275,0.082180
1.320065,0.061677
1.340053,0.129147
1.360042,0.155651
1.380247,0.197349
1.400130,0.115647
1.420101,0.118820
1.440053,0.126532
1.460221,0.110920
1.480185,0.082312
1.499999,0.054783
1.519994,0.059731
1.539999,0.061311
1.560065,0.073237
1.580063,0.081683
1.599990,0.090311
1.620043,0.097796
1.640042,0.101831
1.660045,0.067525
1.680010,0.170060
1.700048,0.239242
1.719991,0.233946
1.739990,0.168527
1.760255,0.173288
1.780042,0.116132
1.800041,0.082421
1.820063,0.067668
1.840043,0.024416
1.860040,0.038251
1.879994,0.031682
1.900216,0.045640
1.920293,0.058103
1.940000,0.067390
1.960040,0.067716
1.980047,0.071869
1.999996,0.080918
2.019990,0.172890
2.039995,0.232013
2.060265,0.226648
2.080053,0.180100
2.100047,0.168705
2.120035,0.111271
2.140041,0.112948
2.160067,0.073037
2.179991,0.036916
2.200055,0.047423
2.220145,0.048141
2.240219,0.057604
2.260051,0.066549
2.280037,0.079598
2.300009,0.096677
2.320076,0.085316
2.340032,0.075725
2.360057,0.123643
2.379994,0.235294
2.400058,0.118644
2.419994,0.173849
2.440017,0.173276
2.460059,0.145185
2.480063,0.072578
2.500035,0.061094
2.520212,0.030151
2.540242,0.039586
2.560053,0.039224
2.580041,0.054629
2.600043,0.070493
2.620107,0.073945
2.640070,0.078823
2.660056,0.063561
2.680323,0.162426
2.700055,0.171810
2.719996,0.127784
2.740071,0.175999
2.760271,0.172337
2.780230,0.112472
2.800056,0.082959
2.820046,0.051325
2.839998,0.038450
2.860073,0.051906
2.880049,0.064005
2.900000,0.073386
2.920030,0.079400
2.940212,0.087840
2.960048,0.081930
2.979996,0.077320
2.999997,0.173683
3.020036,0.223356
3.040034,0.234280
3.060027,0.168830
3.080041,0.126462
3.100038,0.158851
3.120032,0.087704
3.139998,0.067621
3.159991,0.040436
3.179992,0.034330
3.199991,0.035587
3.220048,0.039621
3.240224,0.053326
3.260258,0.068344
3.280197,0.080742
3.300037,0.059736
3.320044,0.120686
3.340038,0.154578
3.359991,0.243417
3.380040,0.201576
3.400080,0.121901
3.420154,0.118177
3.440331,0.108203
3.459999,0.105183
3.479997,0.073126
3.500124,0.058592
3.520036,0.061101
3.540063,0.064239
3.560046,0.070562
3.579996,0.082590
3.600038,0.100639
3.620039,0.091328
3.640039,0.077121
3.660003,0.149690
3.679986,0.226675
3.700063,0.225107
3.720195,0.169519
3.740041,0.123439
3.759996,0.149605
3.780042,0.107706
3.800040,0.059402
3.820034,0.035985
3.839989,0.033565
3.859989,0.042491
3.880076,0.051462
3.900043,0.064123
3.919996,0.075394
3.939991,0.077393
3.959987,0.061445
3.980050,0.144713
4.000351,0.207182
4.020240,0.242762
4.040091,0.167126
4.060010,0.117685
4.079995,0.154761
4.100034,0.133924
4.120040,0.092679
4.140045,0.049417
4.159985,0.040826
4.180028,0.059691
4.200026,0.073912
4.220001,0.082906
4.240041,0.091915
4.259987,0.093145
4.279992,0.083905
4.299990,0.133558
4.320039,0.191428
4.339987,0.219398
4.359992,0.108033
4.379997,0.125074
4.400052,0.178379
4.420035,0.107744
4.440091,0.068196
4.460007,0.031533
4.480000,0.023337
4.500045,0.026635
4.519997,0.036786
4.540042,0.047405
4.560106,0.056803
4.580044,0.068717
4.600039,0.066263
4.620094,0.059909
4.640031,0.158021
4.660007,0.250255
4.680089,0.140159
4.699988,0.178506
4.719990,0.127954
4.739996,0.109160
4.759998,0.118531
4.779998,0.077014
4.800038,0.050641
4.820032,0.047020
4.840044,0.053554
4.859991,0.055619
4.879995,0.066432
4.899986,0.080721
4.919989,0.089127
4.940056,0.093768
4.960042,0.073329
4.980225,0.173087
5.000000,0.214361
5.020031,0.216257
5.040031,0.168263
5.060017,0.170452
