t,err_weighted
0.000000,0.346334
0.019878,0.440115
0.039882,0.224862
0.059963,0.144944
0.079897,0.206971
0.099933,0.242192
0.119982,0.236716
0.139842,0.219419
0.159939,0.210294
0.179966,0.254727
0.199929,0.226395
0.219802,0.183555
0.239822,0.152433
0.259821,0.145238
0.279861,0.136309
0.299884,0.130902
0.319925,0.120479
0.339982,0.119173
0.359916,0.098396
0.379891,0.071288
0.399910,0.214245
0.419795,0.259549
0.439929,0.229148
0.459809,0.160092
0.479766,0.155282
0.499811,0.172328
0.519784,0.138027
0.539811,0.110340
0.559820,0.120797
0.579806,0.129317
0.599825,0.128539
0.619824,0.149047
0.639800,0.128939
0.659800,0.174631
0.679819,0.074148
0.699805,0.193381
0.719788,0.236094
0.739763,0.227985
0.759937,0.176052
0.779742,0.183306
0.800010,0.141472
0.819927,0.082026
0.839965,0.073492
0.859865,0.070516
0.880087,0.053571
0.899754,0.054643
0.919889,0.063155
0.939898,0.071180
0.959932,0.118615
0.979919,0.269696
0.999922,0.319712
1.019811,0.383556
1.039793,0.258320
1.059894,0.170237
1.079751,0.184804
1.099942,0.169163
1.119804,0.108829
1.139749,0.089403
1.159831,0.095372
1.179787,0.094369
1.199788,0.108386
1.219916,0.094627
1.239896,0.089206
1.259884,0.078679
1.279943,0.203002
1.299869,0.164344
1.319872,0.215194
1.340026,0.158684
1.359962,0.171351
1.379944,0.168026
1.399943,0.149389
1.419896,0.122559
1.439935,0.083901
1.459891,0.072706
1.479940,0.075213
1.499937,0.071775
1.519971,0.073889
1.540019,0.059599
1.559874,0.078290
1.579879,0.221335
1.599934,0.179963
1.619902,0.295833
1.639911,0.335693
1.659797,0.262007
1.679869,0.184764
1.699794,0.164359
1.719888,0.133502
1.739789,0.104131
1.759804,0.113104
1.779901,0.121924
1.799833,0.119392
1.820001,0.107122
1.839815,0.123466
1.859748,0.100387
1.879918,0.122622
1.899906,0.191565
1.919832,0.279593
1.939948,0.267506
1.959826,0.175026
1.979886,0.166979
1.999983,0.164228
