t,err_weighted
0.000000,0.054920
0.020053,0.047381
0.039898,0.055419
0.059925,0.060857
0.079938,0.060355
0.099986,0.057308
0.119792,0.053049
0.139759,0.049896
0.160003,0.043825
0.179916,0.040811
0.199872,0.045702
0.219861,0.093788
0.239785,0.097037
0.260012,0.088317
0.279955,0.102528
0.299992,0.108966
0.320036,0.124300
0.339963,0.138813
0.360038,0.130427
0.380025,0.116262
0.399894,0.103911
0.419947,0.108295
0.439902,0.128863
0.460147,0.137363
0.479974,0.134796
0.499984,0.097461
0.519956,0.088999
0.539924,0.211514
0.559935,0.189609
0.579935,0.187219
0.599945,0.196819
0.619911,0.174671
0.640131,0.143015
0.659919,0.129444
0.680039,0.121912
0.699963,0.113845
0.720079,0.106345
0.740053,0.101010
0.759955,0.103048
0.779917,0.107017
0.799898,0.111444
0.819889,0.112014
0.839970,0.235330
0.860053,0.212187
0.880080,0.166645
0.900071,0.177515
0.919857,0.191640
0.939832,0.191158
0.960167,0.170323
0.980055,0.137766
1.000024,0.124979
1.020068,0.134916
1.039996,0.144983
1.060030,0.143416
1.080041,0.108309
1.099906,0.079397
1.120092,0.087490
1.140027,0.195766
1.159935,0.213078
1.180051,0.144624
1.199924,0.147168
1.220018,0.147601
1.239993,0.123640
1.259961,0.088395
1.280042,0.063406
1.299908,0.061418
1.319915,0.055740
1.339971,0.056820
1.359911,0.063414
1.379927,0.077858
1.399920,0.258240
1.419908,0.226134
1.439903,0.322020
1.460003,0.312180
1.479862,0.245438
1.499911,0.182122
1.520135,0.152175
1.539925,0.135943
1.560047,0.107554
1.580047,0.097873
1.599910,0.100239
1.619915,0.094632
1.639910,0.094693
1.659913,0.083369
1.679921,0.073153
1.701278,0.202869
1.719975,0.141483
1.739939,0.233562
1.759927,0.192143
1.780038,0.124419
1.799805,0.165132
1.819890,0.160409
1.839928,0.126128
1.859957,0.082348
1.880131,0.048897
1.899925,0.041572
1.919944,0.034123
1.939963,0.062956
1.959939,0.073386
1.979960,0.092752
2.000037,0.141211
2.020089,0.306480
2.039916,0.299652
2.059972,0.450838
2.079807,0.375491
2.099950,0.343194
2.119815,0.278227
2.139908,0.247203
2.159940,0.256887
2.179935,0.222102
2.199943,0.211342
2.220040,0.194970
2.239937,0.175192
2.259934,0.164648
2.279901,0.125151
2.299901,0.114093
2.319954,0.198623
2.339919,0.158351
