t,err_vx,err_vy,err_yaw,err_norm
0.000000,-0.019763,-0.000018,-0.000087,0.019763
1.018664,0.002876,0.000414,0.009198,0.009646
2.018873,-0.144911,0.146586,-0.121684,0.239361
3.019059,0.102736,-0.045886,0.316263,0.335682
4.018894,0.060333,0.063387,-0.221358,0.238028
5.019189,0.032869,-0.013212,0.343833,0.345653
6.018408,0.093457,-0.043228,-0.075766,0.127841
7.018921,0.032034,0.027352,-0.099293,0.107858
8.018415,-0.000045,0.002036,0.066953,0.066984
9.019469,-0.103270,-0.010105,-0.026568,0.107111
10.018970,0.087339,0.049468,0.167435,0.195217
11.019312,-0.057090,0.088808,-0.080789,0.132940
12.019116,-0.022464,-0.092982,0.086976,0.129287
13.019393,-0.103400,0.104306,-0.237121,0.278922
14.019283,-0.054649,-0.212019,0.106465,0.243461
15.018986,0.013865,0.135479,-0.177159,0.223455
16.018600,0.034231,-0.152526,0.106013,0.188877
17.019265,-0.170027,0.103485,0.304474,0.363762
18.019285,0.079914,-0.066756,-0.232051,0.254343
19.019220,-0.027832,-0.059353,0.322421,0.329018
20.019079,0.038598,-0.061699,-0.069481,0.100619
21.019196,0.036538,0.059910,0.081622,0.107640
22.018492,0.078946,-0.070314,-0.059598,0.121361
23.019223,0.038206,0.088716,0.112857,0.148549
24.019035,0.011998,-0.084661,-0.066651,0.108415
25.019387,-0.010260,0.148678,0.097172,0.177912
26.019434,0.099920,-0.130372,-0.058517,0.174371
27.019338,-0.370056,0.059765,-0.970853,1.040706
28.019582,-0.014844,0.038860,0.081050,0.091102
29.019207,0.023935,0.081154,0.402626,0.411420
30.019415,0.074544,-0.001295,0.031440,0.080913
31.018879,-0.079211,-0.100572,-0.324363,0.348713
32.018444,-0.106500,-0.011646,0.134278,0.171780
33.019379,-0.055102,0.051521,-0.048383,0.089619
34.018771,0.130527,-0.135332,0.157349,0.245175
35.019298,-0.213256,0.049978,0.059742,0.227035
36.019235,0.084949,-0.055365,-0.050923,0.113467
37.018545,0.018387,-0.017384,-0.009615,0.027069
