t,err_weighted
0.000000,0.495935
0.020072,0.585692
0.040040,0.399880
0.060467,0.324355
0.079930,0.455133
0.100631,0.635242
0.120323,0.727819
0.140803,0.640906
0.160208,0.563579
0.180656,0.421536
0.200016,0.244758
0.220388,0.156475
0.240118,0.118860
0.260501,0.115797
0.280170,0.135056
0.300091,0.276631
0.320253,0.316614
0.340091,0.250073
0.360746,0.156552
0.380274,0.139858
0.400584,0.115540
0.419973,0.081603
0.440116,0.050968
0.460183,0.028270
0.480026,0.018470
0.500439,0.018543
0.520573,0.021070
0.540287,0.032033
0.560213,0.044304
0.580427,0.062246
0.600034,0.125190
0.620161,0.169009
0.640236,0.210910
0.660245,0.350950
0.680166,0.325125
0.700080,0.219521
0.720107,0.210441
0.740308,0.228077
0.760008,0.235784
0.780168,0.211874
0.800160,0.183614
0.820041,0.176977
0.840599,0.179190
0.860393,0.174474
0.880086,0.148300
0.900095,0.107015
0.920022,0.249829
0.940037,0.336414
0.960265,0.340631
0.980103,0.278288
1.000209,0.240282
1.020336,0.216232
1.040039,0.170994
1.060575,0.117544
1.080365,0.091315
1.100270,0.071849
1.120044,0.045915
1.140289,0.069420
1.160170,0.079045
1.180254,0.091380
1.200524,0.095069
1.220134,0.144155
1.240535,0.297920
1.260196,0.416264
1.280350,0.433129
1.300070,0.366264
1.320110,0.264104
1.340239,0.220984
1.360478,0.165184
1.380715,0.119897
1.400188,0.100330
1.420344,0.088904
1.440081,0.077122
1.460340,0.068296
1.480141,0.065710
1.500378,0.062510
1.520435,0.084533
1.540356,0.195963
1.560504,0.181361
1.580239,0.190896
1.600348,0.250256
1.620160,0.181285
1.640321,0.187051
1.660673,0.192277
1.680182,0.183504
1.699968,0.148528
1.720074,0.108047
1.740374,0.092154
1.760148,0.091662
1.780396,0.085687
1.800295,0.086552
1.820616,0.077904
1.840439,0.063590
1.860303,0.254842
1.880315,0.199993
1.900293,0.355619
1.920369,0.417914
1.940290,0.313339
1.960044,0.251665
1.980201,0.232305
2.000136,0.200959
2.020501,0.156339
2.040424,0.138789
2.060049,0.134769
2.080132,0.124517
2.099978,0.112949
2.120101,0.094188
2.139922,0.085442
2.160170,0.065239
2.180190,0.294799
2.200455,0.360517
2.220519,0.346323
2.240008,0.251238
2.259924,0.220171
2.280043,0.215044
2.301007,0.165559
2.320464,0.111253
2.340244,0.084347
2.360352,0.065251
2.380179,0.046366
2.399990,0.030655
2.420336,0.052845
2.440026,0.071146
2.460007,0.084731
2.480474,0.114739
2.499966,0.241222
2.519982,0.232030
2.540110,0.408041
2.560058,0.384208
2.580051,0.233738
2.600411,0.196125
2.620112,0.207180
2.639959,0.189200
2.660066,0.148498
2.680136,0.121222
2.700063,0.123992
2.720040,0.131482
2.740324,0.133433
2.760375,0.135030
2.780174,0.118831
2.800034,0.099552
2.819977,0.197463
2.840067,0.185934
2.860229,0.310510
2.880677,0.254932
2.900780,0.196765
2.920581,0.197404
2.939831,0.187686
2.960686,0.155309
2.979816,0.112330
3.000300,0.087814
3.020016,0.077488
3.040467,0.061232
3.060790,0.053116
3.080660,0.045250
3.100668,0.059084
3.119786,0.099293
3.139949,0.296246
3.160528,0.363466
3.180401,0.440000
3.200108,0.378511
3.220397,0.257208
3.240686,0.214017
3.259952,0.178414
3.279978,0.131523
3.300453,0.110126
3.320555,0.104432
3.340559,0.101955
3.359796,0.098289
3.379805,0.096639
3.399913,0.083928
3.420245,0.087545
3.440520,0.259947
3.460966,0.172766
3.480550,0.248086
3.500456,0.292204
3.520131,0.211624
3.540071,0.207004
3.560187,0.205514
3.580529,0.184597
3.600669,0.139971
3.620397,0.104190
3.640605,0.092195
3.660692,0.081399
3.679812,0.067120
3.699816,0.056057
3.720390,0.049324
3.740255,0.071005
3.760370,0.167547
3.780417,0.246672
3.800387,0.384260
3.820035,0.432356
3.840144,0.304907
3.860185,0.234955
3.880590,0.217943
3.900647,0.190605
3.920599,0.143800
3.940929,0.115623
3.960183,0.109907
3.980261,0.112326
4.000590,0.110715
4.020076,0.111848
4.040275,0.098945
4.060561,0.096411
4.080367,0.183047
4.100181,0.183215
4.120346,0.276064
4.140561,0.306099
4.160558,0.214519
4.180447,0.201405
4.200576,0.198628
4.220411,0.172639
4.239825,0.127791
4.259868,0.096543
4.280125,0.085973
4.300615,0.073557
4.320518,0.059679
4.340495,0.048683
4.360511,0.046955
4.379747,0.067453
4.400317,0.156006
4.420543,0.219847
4.440872,0.313056
4.460852,0.427366
4.480640,0.343565
4.500489,0.236440
4.519973,0.208879
4.539817,0.192420
4.560301,0.149569
4.580489,0.119271
4.601695,0.113766
4.620664,0.118736
4.640774,0.115707
4.660774,0.116296
4.680018,0.104583
4.700245,0.099426
4.720478,0.176615
4.740620,0.165028
4.761152,0.258119
4.780371,0.314309
4.799856,0.220579
4.820089,0.204421
4.841103,0.203018
4.860283,0.178393
4.880669,0.134250
4.900426,0.100067
4.920757,0.088488
4.940906,0.076204
4.959865,0.061674
4.980328,0.050465
5.000761,0.047496
5.019931,0.069116
5.040521,0.162449
5.060435,0.234516
5.080660,0.359018
5.099850,0.433689
5.120323,0.326565
5.140445,0.242189
5.160406,0.218698
5.180515,0.192423
5.199907,0.145294
5.220414,0.116433
5.240249,0.113397
5.260682,0.115435
5.280380,0.113196
5.300656,0.113700
5.320791,0.100860
5.340576,0.097474
5.360368,0.183207
5.379911,0.179821
5.400129,0.265251
5.420724,0.308432
5.440561,0.215664
5.460564,0.202770
5.480631,0.201169
5.500529,0.174724
5.519857,0.131031
5.540055,0.097539
5.560489,0.087070
5.580554,0.076415
5.600819,0.063303
5.620742,0.053305
5.640776,0.046135
5.660082,0.062167
5.680388,0.154322
5.699942,0.223476
5.720380,0.324145
5.740563,0.429036
5.760551,0.340862
5.780864,0.237553
5.799873,0.210678
5.820411,0.191483
5.840521,0.147356
5.860321,0.117641
5.880488,0.114883
5.900585,0.117829
5.920708,0.116056
5.940336,0.116505
5.960637,0.103798
5.980907,0.100448
6.000570,0.184827
6.021313,0.181364
6.040634,0.272187
6.060457,0.312636
6.080062,0.218590
6.100399,0.204535
6.120891,0.202429
6.140839,0.173479
6.160619,0.129069
6.180433,0.097123
6.200180,0.086800
6.220139,0.075184
6.240185,0.061927
6.261101,0.051743
6.280589,0.049424
6.300464,0.066867
6.320877,0.156915
6.340353,0.228295
6.359917,0.330639
6.379861,0.432002
6.400278,0.337751
6.420567,0.237203
6.440686,0.211422
6.460558,0.190903
6.480513,0.146183
6.500171,0.116082
6.520465,0.114442
6.540054,0.117446
6.559853,0.115977
6.580363,0.116831
6.600594,0.104539
6.620717,0.104266
6.640260,0.183507
6.660635,0.180058
6.681307,0.269239
6.700059,0.312016
6.720350,0.218087
6.740095,0.204304
6.760537,0.202486
6.779822,0.173697
6.800322,0.129999
6.820526,0.097565
6.840573,0.087521
6.860737,0.076653
6.880795,0.063774
6.900091,0.053980
6.919791,0.050366
6.940109,0.068044
6.960666,0.159968
6.980663,0.231487
7.000817,0.353195
7.020740,0.436508
7.040259,0.337896
7.059813,0.239348
7.079914,0.212977
7.100512,0.190489
7.120534,0.144764
7.140678,0.115018
7.160828,0.114692
7.180519,0.117189
7.199979,0.115286
7.219957,0.115879
7.240419,0.103204
7.260738,0.100303
7.280463,0.187040
7.300528,0.185563
7.320557,0.272765
7.340552,0.310799
7.359787,0.217270
7.379982,0.204225
7.400402,0.202235
7.420885,0.172754
7.441242,0.128199
7.460794,0.096425
7.480721,0.086927
7.499863,0.076534
7.520315,0.064278
7.539870,0.054993
7.560345,0.050652
7.580525,0.067512
7.600640,0.159824
7.620499,0.227854
7.640113,0.330820
7.659968,0.433926
7.680340,0.338677
7.699937,0.237600
7.720060,0.210878
7.740645,0.190736
7.760639,0.146077
7.779807,0.115458
7.800209,0.115754
7.820266,0.118993
7.839846,0.117602
7.859897,0.118462
7.880604,0.105949
7.899797,0.102027
7.920360,0.185400
7.939932,0.184404
7.960465,0.274637
7.980864,0.313075
8.000802,0.218661
8.020708,0.204873
8.039793,0.202725
8.060045,0.172690
8.080392,0.127480
8.100634,0.096296
8.120462,0.086892
8.140974,0.076250
8.160793,0.064065
8.180647,0.054822
8.199782,0.053041
8.219870,0.071661
8.240434,0.164835
8.260566,0.232758
8.280499,0.356660
8.300817,0.439422
8.320597,0.330259
8.339823,0.242796
8.360308,0.217295
8.380216,0.193248
8.400464,0.146437
8.419820,0.115555
8.440323,0.117423
8.460896,0.120140
8.479818,0.118248
8.500276,0.118851
8.520533,0.105872
8.540691,0.101957
8.559981,0.184690
8.580481,0.185440
8.600586,0.272490
8.619851,0.312213
