t,err_weighted
0.000000,0.046354
0.020966,0.037909
0.040451,0.025161
0.059848,0.016472
0.078781,0.019888
0.099105,0.021497
0.119739,0.017731
0.139979,0.014314
0.159659,0.018980
0.180553,0.026172
0.200325,0.031404
0.218848,0.071233
0.238928,0.082637
0.259169,0.083548
0.280124,0.085699
0.299705,0.087943
0.320370,0.116624
0.340388,0.116521
0.359674,0.131236
0.378779,0.116906
0.399057,0.113177
0.418861,0.127241
0.439391,0.112530
0.459888,0.111460
0.478866,0.103166
0.499887,0.065449
0.518826,0.076525
0.539444,0.071841
0.559939,0.064774
0.580578,0.081120
0.599543,0.067915
0.620272,0.084823
0.639763,0.105316
0.658888,0.123611
0.679498,0.135753
0.699780,0.137061
0.720389,0.149625
0.739535,0.112910
0.758795,0.140479
0.779536,0.121267
0.798804,0.120829
0.819304,0.137048
0.839668,0.130057
0.859840,0.101927
0.879944,0.066475
0.900108,0.034058
0.918946,0.036993
0.938780,0.037425
0.959239,0.050570
0.979654,0.065614
1.000175,0.078629
1.019596,0.084592
1.039817,0.068128
1.060153,0.099750
1.079829,0.165616
1.098758,0.138228
1.119012,0.124091
1.139488,0.124048
1.160625,0.117888
1.180212,0.098672
1.199723,0.073997
1.219513,0.055053
1.238753,0.049815
1.259095,0.054279
1.278829,0.063972
1.299483,0.071082
1.319653,0.081627
1.339814,0.086898
1.359800,0.072628
1.378747,0.123676
1.399091,0.144422
1.419539,0.116424
1.438800,0.104643
1.459327,0.120087
1.480288,0.114608
1.499696,0.091419
1.518752,0.055002
1.539194,0.026793
1.559688,0.034246
1.579711,0.035492
1.600434,0.050612
1.619601,0.065654
1.639920,0.080999
1.658778,0.079724
1.679015,0.070132
1.699344,0.128648
1.719729,0.201360
1.739774,0.124277
1.759880,0.114935
1.779952,0.130060
1.799189,0.119410
1.818793,0.090604
1.839255,0.067242
1.859618,0.058172
1.879646,0.062042
1.899854,0.083675
1.918878,0.101760
1.939589,0.120629
1.958771,0.139129
1.979365,0.123058
1.999628,0.068679
2.020063,0.068121
2.039722,0.084884
2.059449,0.051337
2.078747,0.053049
2.098725,0.050543
2.119201,0.030403
2.139266,0.061223
2.159508,0.096794
2.179873,0.084944
2.199863,0.065742
2.219985,0.038237
2.238746,0.055432
2.259209,0.077836
2.280109,0.086880
2.299698,0.084705
2.319594,0.058772
2.339445,0.068672
2.359770,0.295969
2.380578,0.173591
2.398749,0.190126
2.419095,0.196508
2.438679,0.168004
2.459707,0.138366
2.479030,0.093266
2.499508,0.060209
2.520855,0.043957
2.538763,0.040535
