t,err2
0.000000,0.033396
0.019799,0.001723
0.040067,0.011058
0.060070,0.001921
0.080026,0.000671
0.100004,0.025515
0.119911,0.029433
0.139726,0.079356
0.159735,0.035702
0.179894,0.037768
0.199862,0.041849
0.219764,0.058631
0.239879,0.043583
0.259840,0.078932
0.280042,0.118016
0.299728,0.054108
0.319749,0.204207
0.339723,0.238337
0.359723,0.159276
0.379864,0.131588
0.399892,0.540099
0.419898,0.394115
0.439732,0.380242
0.459889,0.123006
0.480072,0.485860
0.500196,0.095690
0.519994,0.175237
0.540096,0.136641
0.559965,0.129830
0.579815,0.219982
0.599760,0.242559
0.619764,0.164681
0.639726,0.150144
0.659712,0.164891
0.679923,0.121526
0.699936,0.070575
0.719975,0.122160
0.740033,0.423052
0.759990,0.418805
0.779903,0.128941
0.799886,0.111957
0.819719,0.236380
0.839754,0.398775
0.859771,0.448757
0.879924,0.188264
0.899710,0.416040
0.919808,0.366808
0.940088,0.131551
0.960060,0.250513
0.980166,0.302467
1.000053,0.601556
1.019987,0.318603
1.039968,0.253644
1.060150,0.247526
1.080019,0.135264
1.100092,0.163489
1.119933,0.107283
1.139960,0.086493
1.159876,0.154714
1.180020,0.077944
1.199919,0.140587
1.219762,0.194233
1.240081,0.115407
1.259931,0.108855
1.280063,0.064726
1.299914,0.036704
1.319863,0.463685
1.339774,0.033904
1.359855,0.020235
1.380027,0.036659
1.400177,0.340138
1.420076,0.632222
1.439796,0.186523
1.459749,0.284201
1.480046,0.161074
1.499773,0.149033
1.519924,0.214446
1.540107,0.878644
1.559944,0.357149
1.579990,0.186567
1.600049,0.161009
1.619948,0.107844
1.639877,0.062265
1.659975,0.097954
1.679923,0.095206
1.700177,0.061224
1.720022,0.401638
1.739878,0.449449
1.759976,0.905121
1.780265,0.241638
1.800056,0.470376
1.819975,0.207482
1.839881,0.131469
1.860399,0.142857
1.880166,0.063292
1.899923,0.176289
1.920031,0.129017
1.940042,0.026889
1.959958,0.031509
1.979876,0.075451
1.999997,1.072413
2.020071,0.338197
2.039900,0.243039
2.059791,0.282903
2.079768,0.200274
2.099774,0.353299
2.119874,0.530327
2.139735,0.391998
2.159720,0.598551
2.179764,0.194446
2.199852,0.247468
2.219717,0.198430
2.239720,0.182419
2.259718,0.143531
2.280068,0.292388
2.300075,0.213038
2.320018,0.145384
2.339872,0.230882
2.359871,0.210703
2.380043,0.166909
2.399930,0.195600
2.419910,0.353622
2.439893,0.282340
2.459762,0.218543
2.479748,0.070039
2.500286,0.106802
2.519925,0.110741
2.539912,0.129632
2.559951,0.195655
2.579932,0.210433
2.599945,0.059226
2.620027,0.033530
2.639981,0.112646
2.660032,0.150529
2.680003,0.141475
2.700057,0.169762
2.720094,0.120049
2.739931,0.050058
2.759941,0.119876
2.780056,0.171456
2.800006,0.057202
2.820046,0.030271
2.839991,0.026342
2.859849,0.046525
2.880060,0.048130
2.900109,0.029473
2.920030,0.036181
2.939943,0.057175
2.960016,0.085044
2.980070,0.146308
3.000252,0.140910
3.020129,0.223740
3.039903,0.126949
3.059960,0.196830
3.079985,0.515419
3.099993,0.094347
3.119856,0.064992
3.139919,0.053697
3.159922,0.058960
3.179953,0.041413
3.200362,0.031594
3.219874,0.050164
3.239967,0.094112
3.259936,0.083324
3.279924,0.153348
3.300008,0.155673
3.319861,0.614406
3.339880,0.180806
3.360166,0.181138
3.379974,0.130409
3.399951,0.090509
3.419898,0.045778
3.439967,0.084047
3.459874,0.079090
3.480004,0.126228
3.500377,0.080173
3.519929,0.492645
3.540107,0.347736
3.560072,0.131854
3.580023,0.221289
3.600104,0.165561
3.620068,0.249289
3.640110,0.245568
3.660052,0.166576
3.680028,0.105030
3.700175,0.119259
3.720005,0.472145
3.739947,0.054569
3.760141,0.333177
3.779962,0.106880
3.799916,0.111569
3.819935,0.142634
3.839976,0.142711
3.859899,0.171207
3.879980,0.157073
3.899968,0.132136
3.920063,0.105764
3.940053,0.065366
3.959963,0.059635
3.980215,0.076348
4.000136,0.107041
4.019965,0.108233
4.039777,0.094208
4.059978,0.071763
4.080000,0.141427
4.100339,0.197900
4.120206,0.217871
4.139870,0.235842
4.159957,0.207666
4.179930,0.075638
4.200108,0.243192
4.219854,0.373309
4.239992,0.369281
4.260043,0.341661
4.280133,0.309114
4.300169,0.207045
4.319955,0.252829
4.340067,0.294646
4.359947,0.270655
4.379945,0.228887
4.400027,0.197681
4.419868,0.157086
4.439874,0.084565
4.459872,0.061966
4.479991,0.049716
4.500146,0.088492
4.519916,0.113964
4.539967,0.415881
4.560064,0.153853
4.580145,0.166021
4.599976,0.111211
4.620031,0.382606
4.640067,0.193873
4.659920,0.096914
4.680077,0.075319
4.700178,0.086786
4.719882,0.068029
4.739932,0.099449
4.760173,0.149841
4.780195,0.165950
4.800155,0.168565
4.819869,0.200265
4.839939,0.218659
4.859883,0.226416
4.880085,0.253496
4.900004,0.213639
4.920153,0.203396
4.940152,0.205599
4.959845,0.226182
4.980142,0.260331
5.000444,0.206545
5.019920,0.181231
5.039981,0.141763
5.059868,0.099080
5.080019,0.091395
5.100127,0.077494
5.120189,0.104446
5.139984,0.126761
5.159877,0.189669
5.180164,0.177149
5.200004,0.177873
5.220133,0.115200
5.240070,0.078857
5.259853,0.060485
5.280067,0.063731
5.299998,0.151150
5.320125,0.110324
5.340194,0.070292
5.360066,0.093657
5.380003,0.083424
5.400020,0.142005
5.419864,0.181532
5.439824,0.167771
5.459728,0.190726
5.479771,0.227985
5.499910,0.228544
5.519821,0.174294
5.539746,0.154798
5.559720,0.170941
5.579854,0.176824
5.599864,0.193674
5.619729,0.200042
5.639742,0.092089
5.659710,0.099128
5.679916,0.082212
5.699772,0.067802
5.719920,0.178077
5.739792,0.102648
5.760048,0.176457
5.779955,0.137723
5.800031,0.144910
5.820006,0.220530
5.840084,0.103793
5.860051,0.061732
5.879951,0.454485
5.900456,0.310273
5.919963,0.138155
5.939814,0.262892
5.959886,0.147802
5.979747,0.208601
6.000051,0.217056
6.019848,0.196237
6.039760,0.214319
6.059902,0.210959
6.079698,0.199828
6.099925,0.130820
6.120009,0.096009
6.139852,0.058191
6.160062,0.361106
6.179736,0.304193
6.199834,0.074059
6.219920,0.091943
6.239899,0.065759
6.259724,0.100891
6.279730,0.182652
6.299784,0.206022
6.319821,0.207874
6.339720,0.198274
6.359751,0.155908
6.379827,0.134120
6.399692,0.086462
6.420238,0.104564
6.440268,0.093476
6.459718,0.094319
6.479718,0.108779
6.499906,0.064294
6.519778,0.060445
6.539717,0.067149
6.559747,0.122012
6.579906,0.166601
6.600052,0.200160
6.620096,0.207565
6.639868,0.208899
6.659940,0.228805
6.679944,0.128876
6.700105,0.093219
6.719731,0.173863
6.739780,0.186004
6.759727,0.166032
6.779918,0.207642
6.799794,0.205277
6.819760,0.075729
6.839718,0.150851
6.859707,0.134943
6.879989,0.158929
6.899999,0.216285
6.919718,0.336301
6.939723,0.262729
6.959827,0.389633
6.979911,0.091394
7.000096,0.114076
7.020007,0.135567
7.039741,0.065686
7.059822,0.069352
7.079839,0.050314
7.099773,0.090685
7.119709,0.099933
7.139724,0.090148
7.159725,0.166676
7.179716,0.166300
7.199874,0.183249
7.219782,0.188924
7.239887,0.210750
7.259749,0.192561
7.279700,0.141871
7.300294,0.122629
7.319793,0.154615
7.339714,0.151915
7.359731,0.165545
7.379956,0.162343
7.399811,0.131314
7.419709,0.079165
7.439879,0.097115
7.459748,0.111787
7.480003,0.154613
7.499934,0.256258
7.519865,0.170827
7.539743,0.175227
7.559779,0.170506
7.579868,0.110044
7.600018,0.167580
7.619867,0.134462
7.639716,0.127728
7.659717,0.083398
7.679925,0.062229
7.699898,0.072629
7.719844,0.102348
7.739927,0.170971
7.759928,0.110453
7.779937,0.091903
7.799921,0.122749
7.819805,0.146067
7.839720,0.190068
7.859845,0.252046
7.879757,0.227072
7.899983,0.126301
7.920173,0.145264
7.940086,0.242164
7.959914,0.177553
7.980230,0.236386
8.000030,0.208469
8.020035,0.112019
8.039896,0.116332
8.059753,0.136220
8.079985,0.148197
8.100065,0.136662
8.119866,0.183390
8.139797,0.209946
8.159728,0.182883
8.179945,0.151470
8.200273,0.138894
8.219991,0.122588
8.239960,0.147961
8.259866,0.099714
8.280104,0.035682
8.300258,0.136495
8.319745,0.057861
8.339752,0.069858
8.359887,0.122916
8.379823,0.166600
8.400164,0.200668
8.420092,0.280718
8.439941,0.293869
8.460000,0.223003
8.479996,0.132738
8.499748,0.118568
8.519935,0.107029
8.540075,0.114886
8.559968,0.117253
8.580163,0.167460
8.600182,0.128034
8.619755,0.093707
8.639861,0.099094
8.659971,0.082938
8.680208,0.100101
8.699963,0.363218
8.719802,0.228737
8.739880,0.232307
8.759870,0.505170
8.779900,0.350813
8.799971,0.152965
8.819868,0.247009
8.839868,0.149933
8.859854,0.084831
8.880045,0.129305
8.899996,0.032417
8.919930,0.120855
8.939862,0.126793
8.959983,0.187937
8.980012,0.125235
9.000158,0.103848
9.019846,0.055840
9.040033,0.078504
9.060058,0.129891
9.080045,0.085738
9.100046,0.032901
9.119988,0.071092
9.139901,0.032923
9.159843,0.031228
9.180066,0.065851
9.200276,0.073271
9.219878,0.051871
9.239909,0.059899
9.259917,0.089026
9.280125,0.115500
9.299912,0.182432
9.320167,0.180769
9.339822,0.226290
9.359766,0.267324
9.379980,0.308735
9.399983,0.428169
9.419884,0.366857
9.439905,0.245309
9.459905,0.309181
9.479915,0.262641
9.500208,0.120215
9.519918,0.147848
9.539847,0.184820
9.559879,0.086894
9.579954,0.224557
9.599863,0.058346
9.619941,0.087348
9.639914,0.084619
9.659912,0.149934
9.680219,0.135671
9.700220,0.165806
9.719758,0.093492
9.739871,0.122708
9.759927,0.095155
9.780034,0.362704
9.799852,0.080248
9.819984,0.507150
9.839879,0.179268
9.859938,0.194978
9.879989,0.087325
9.900150,0.122199
9.920024,0.050069
9.939866,0.078164
9.960052,0.305353
9.980059,0.020723
9.999837,0.212533
10.019858,0.244938
10.039959,0.174924
10.059853,0.129831
10.080137,0.073805
10.100086,0.020196
10.120179,0.100496
10.139859,0.128177
10.159848,0.075910
10.180025,0.028420
10.200045,0.234293
10.219923,0.172336
10.239941,0.209680
10.259941,0.228951
10.279880,0.356351
10.299989,0.292681
10.319981,0.200529
10.340153,0.095229
10.359880,0.086452
10.380062,0.079965
10.399905,0.095485
10.420468,0.080277
10.439750,0.078543
10.459874,0.115326
10.479856,0.092924
10.499947,0.113725
10.520220,0.132098
10.539862,0.156153
10.559896,0.163467
10.579951,0.156322
10.599910,0.164266
10.619950,0.106842
10.639785,0.071219
10.659777,0.039313
10.679946,0.133903
10.700115,0.118249
10.719920,0.138633
10.739875,0.092842
10.759892,0.052980
10.780200,0.166381
10.800171,0.169416
10.819949,0.156845
10.840044,0.169283
10.860051,0.175911
10.880268,0.130562
10.900142,0.263096
10.919858,0.295785
10.939943,0.131485
10.959860,0.701914
10.980045,0.075497
11.000003,0.127998
11.019965,0.119652
11.039863,0.058642
11.060050,0.118692
11.079975,0.136861
11.099986,0.143972
11.120067,0.167975
11.139829,0.189159
11.159727,0.184222
11.179798,0.200003
11.199784,0.186517
11.219708,0.067766
11.239851,0.201302
11.259920,0.425974
11.280192,0.287098
11.300194,0.126836
11.319954,0.121508
11.340005,0.116653
11.359864,0.145371
11.380134,0.237353
11.399801,0.229831
11.419903,0.259016
11.439869,0.296316
11.459938,0.229063
11.479848,0.152128
11.499933,0.134851
11.519964,0.210075
11.540118,0.171613
11.559903,0.207509
11.580048,0.198764
11.599746,0.255011
11.619900,0.198969
11.640110,0.208244
11.660139,0.191652
11.680351,0.199589
11.700047,0.200368
11.719856,0.163384
11.739856,0.175285
11.759861,0.113140
11.780032,0.140459
11.799870,0.153371
11.820042,0.139019
11.839951,0.148544
11.860045,0.172159
11.880029,0.103637
11.900129,0.138171
11.920105,0.102514
11.939957,0.099211
11.960111,0.091534
11.980920,0.114404
12.000803,0.288890
12.020849,0.068008
12.040643,0.055144
12.060137,0.295928
12.080157,0.105269
12.100126,0.131265
12.120010,0.127996
12.139965,0.142744
12.160013,0.109584
12.180008,0.128507
