Replicate,Factor No.,Run,Search Algorithm,Side,Speed,Interception Rate,Search Time,Total Marker Skipped,distance
1,5,1,Kalman,2,0.01 m/s,1,7.417044481,0,12.492482299316606
1,2,2,Spiral,1,0.025 m/s,0.833333333,2.701233466,0,17.730190915662728
1,4,3,Kalman,1,0.01 m/s,0.666666667,6.678602139,0,23.894454137941285
1,0,4,Spiral,1,0.01 m/s,1,4.851495107,0,23.231249285999365
1,7,5,Kalman,2,0.025 m/s,0.5,7.289057334,0,13.31832752673369
1,6,6,Kalman,1,0.025 m/s,0.666666667,4.442721605,0,18.738497801142543
1,3,7,Spiral,2,0.025 m/s,0.833333333,3.048443119,0,14.078404452592459
1,1,8,Spiral,2,0.01 m/s,1,3.203314026,0,11.194640088990957
2,1,1,Spiral,2,0.01 m/s,1,4.426655173,0,
2,2,2,Spiral,1,0.025 m/s,1,3.006445607,0,
2,5,3,Kalman,2,0.01 m/s,1,4.822014928,0,
2,0,4,Spiral,1,0.01 m/s,1,4.075579921,0,
2,3,5,Spiral,2,0.025 m/s,0.833333333,3.724347512,0,
2,4,6,Kalman,1,0.01 m/s,1,3.003216386,0,
2,6,7,Kalman,1,0.025 m/s,0.666666667,3.448064884,0,
2,7,8,Kalman,2,0.025 m/s,0.5,7.888220032,0,
3,6,1,Kalman,1,0.025 m/s,0.833333333,2.298119108,0,
3,5,2,Kalman,2,0.01 m/s,1,5.447790504,0,
3,4,3,Kalman,1,0.01 m/s,1,3.059540113,0,
3,7,4,Kalman,2,0.025 m/s,0.5,9.753527323,0,
3,1,5,Spiral,2,0.01 m/s,1,3.10848407,0,
3,2,6,Spiral,1,0.025 m/s,1,2.591527025,0,
3,3,7,Spiral,2,0.025 m/s,0.666666667,5.239037037,0,
3,0,8,Spiral,1,0.01 m/s,1,1.627987901,0,
4,3,1,Spiral,2,0.025 m/s,0.833333333,3.705953677,0,
4,0,2,Spiral,1,0.01 m/s,0.833333333,5.08824563,0,
4,7,3,Kalman,2,0.025 m/s,0.833333333,4.666144292,0,
4,5,4,Kalman,2,0.01 m/s,0.666666667,9.236566146,0,
4,4,5,Kalman,1,0.01 m/s,1,5.642990549,0,
4,6,6,Kalman,1,0.025 m/s,0.666666667,3.63579313,0,
4,2,7,Spiral,1,0.025 m/s,0.833333333,2.717990875,0,
4,1,8,Spiral,2,0.01 m/s,1,5.302125295,0,
5,0,1,Spiral,1,0.01 m/s,1,4.175718427,0,
5,3,2,Spiral,2,0.025 m/s,0.833333333,3.444471002,0,
5,7,3,Kalman,2,0.025 m/s,0.833333333,4.793621461,0,
5,4,4,Kalman,1,0.01 m/s,0.833333333,8.730057279,0,
5,5,5,Kalman,2,0.01 m/s,0.666666667,10.36950032,0,
5,1,6,Spiral,2,0.01 m/s,1,2.838051677,0,
5,2,7,Spiral,1,0.025 m/s,1,2.834887743,0,
5,6,8,Kalman,1,0.025 m/s,0.833333333,3.215666215,0,
6,7,1,Kalman,2,0.025 m/s,0.666666667,9.066159685,0,
6,1,2,Spiral,2,0.01 m/s,1,2.261555831,0,
6,2,3,Spiral,1,0.025 m/s,1,2.479022264,0,
6,6,4,Kalman,1,0.025 m/s,0.666666667,4.687704126,0,
6,4,5,Kalman,1,0.01 m/s,1,2.259002368,0,
6,0,6,Spiral,1,0.01 m/s,0.833333333,6.499641577,0,
6,3,7,Spiral,2,0.025 m/s,1,3.710755547,0,
6,5,8,Kalman,2,0.01 m/s,1,8.979466836,0,
