line_no,event,ros_time,marker_id,run_name,side,marker_name,frame_number,csv_line,eoat_x_mm,eoat_y_mm,marker_gt_x_mm,marker_gt_y_mm
272,searching_for_marker,1654609856.570656,0,Take 2022-06-07 09.49.29 AM,2,Marker8,10428,10436,-30.5935,7265.093262,26.258199710738587,7261.824150647333
554,searching_for_marker,1654609916.083138,1,Take 2022-06-07 09.49.29 AM,2,Marker9,17569,17577,-144.036026,6952.885742,158.08445170755664,6948.385849848553
846,searching_for_marker,1654609949.345386,2,Take 2022-06-07 09.49.29 AM,2,Marker10,21561,21569,-32.276459,6630.257812,31.247722812399076,6631.954164269319
1449,searching_for_marker,1654610065.661332,3,Take 2022-06-07 09.49.29 AM,2,Marker11,35519,35527,-31.45694,5497.296387,40.33126762086786,5480.665074694387
1741,searching_for_marker,1654610097.871513,4,Take 2022-06-07 09.49.29 AM,2,Marker12,39384,39392,-169.977112,5183.809082,173.5984529659748,5167.431103901992
1926,searching_for_marker,1654610130.322431,5,Take 2022-06-07 09.49.29 AM,2,Marker13,43278,43286,-39.460102,4868.461426,45.614639988721606,4852.437367630387
2263,searching_for_marker,1654610252.914995,0,Take 2022-06-07 09.56.33 AM,1,Marker2,7141,7149,583.902283,3958.684082,-578.0795351426323,3958.3858813064935
2437,searching_for_marker,1654610271.167618,1,Take 2022-06-07 09.56.33 AM,1,Marker3,9331,9339,718.458618,4295.44043,-709.3846093425211,4271.984185611988
2590,searching_for_marker,1654610282.537537,2,Take 2022-06-07 09.56.33 AM,1,Marker4,10695,10703,572.671509,4571.686035,-581.6928105496593,4587.703906504535
3065,searching_for_marker,1654610330.807648,3,Take 2022-06-07 09.56.33 AM,1,Marker5,16488,16496,576.753662,5722.166504,-590.7071420723564,5736.026765565499
3338,searching_for_marker,1654610344.405442,4,Take 2022-06-07 09.56.33 AM,1,Marker6,18119,18127,707.259827,6039.508789,-722.8793679461755,6049.953956212463
3510,searching_for_marker,1654610356.848091,5,Take 2022-06-07 09.56.33 AM,1,Marker7,19613,19621,581.868958,6352.431641,-595.4016428995366,6365.132705711032
4028,searching_for_marker,1654610526.413434,0,Take 2022-06-07 10.00.16 AM,1,Marker2,13200,13208,557.512634,3964.763428,-578.0795351426323,3958.3858813064935
4417,searching_for_marker,1654610557.075513,1,Take 2022-06-07 10.00.16 AM,1,Marker3,16879,16887,692.111938,4254.700684,-709.3846093425211,4271.984185611988
4689,searching_for_marker,1654610589.353077,2,Take 2022-06-07 10.00.16 AM,1,Marker4,20752,20760,564.2005,4567.380859,-581.6928105496593,4587.703906504535
5302,searching_for_marker,1654610710.352278,3,Take 2022-06-07 10.00.16 AM,1,Marker5,35272,35280,578.761658,5724.609863,-590.7071420723564,5736.026765565499
5706,searching_for_marker,1654610745.234977,4,Take 2022-06-07 10.00.16 AM,1,Marker6,39458,39466,687.037537,6035.928223,-722.8793679461755,6049.953956212463
6085,searching_for_marker,1654610779.31139,5,Take 2022-06-07 10.00.16 AM,1,Marker7,43547,43555,580.028137,6362.65332,-595.4016428995366,6365.132705711032
6338,searching_for_marker,1654610942.571417,0,Take 2022-06-07 10.07.18 AM,1,Marker2,12455,12463,562.945496,3971.453125,-578.0795351426323,3958.3858813064935
6608,searching_for_marker,1654610978.3962,1,Take 2022-06-07 10.07.18 AM,1,Marker3,16754,16762,704.148132,4291.331055,-709.3846093425211,4271.984185611988
6780,searching_for_marker,1654611007.766248,2,Take 2022-06-07 10.07.18 AM,1,Marker4,20278,20286,565.243958,4577.991699,-581.6928105496593,4587.703906504535
8159,searching_for_marker,1654611135.561322,3,Take 2022-06-07 10.07.18 AM,1,Marker5,35613,35621,570.950317,5737.291504,-590.7071420723564,5736.026765565499
8437,searching_for_marker,1654611170.768775,4,Take 2022-06-07 10.07.18 AM,1,Marker6,39838,39846,690.853149,6065.389648,-722.8793679461755,6049.953956212463
8710,searching_for_marker,1654611200.838055,5,Take 2022-06-07 10.07.18 AM,1,Marker7,43447,43455,570.539429,6363.791504,-595.4016428995366,6365.132705711032
