Interception Rate,Search Time,distance
1,7.417044481,12.4924823
0.833333333,2.701233466,17.73019092
0.666666667,6.678602139,23.89445414
1,4.851495107,23.23124929
0.5,7.289057334,13.31832753
0.666666667,4.442721605,18.7384978
0.833333333,3.048443119,14.07840445
1,3.203314026,11.19464009
1,4.426655173,10.02304364
1,3.006445607,19.46174633
1,4.822014928,8.506601613
1,4.075579921,13.59821427
0.833333333,3.724347512,11.39963907
1,3.003216386,13.97543356
0.666666667,3.448064884,25.16587504
0.5,7.888220032,17.98144569
0.833333333,2.298119108,19.04918787
1,5.447790504,12.04783983
1,3.059540113,21.06426678
0.5,9.753527323,17.39639572
1,3.10848407,8.697153215
1,2.591527025,19.06583611
0.666666667,5.239037037,16.28157303
1,1.627987901,14.48544311
0.833333333,3.705953677,15.22256852
0.833333333,5.08824563,19.77963507
0.833333333,4.666144292,15.89315125
0.666666667,9.236566146,6.527780024
1,5.642990549,18.72229125
0.666666667,3.63579313,20.3428312
0.833333333,2.717990875,19.60960442
1,5.302125295,10.3642287
1,4.175718427,12.94544317
0.833333333,3.444471002,15.57906532
0.833333333,4.793621461,14.75446512
0.833333333,8.730057279,18.88226196
0.666666667,10.36950032,9.857615189
1,2.838051677,8.785749995
1,2.834887743,21.56680887
0.833333333,3.215666215,29.55985951
0.666666667,9.066159685,14.24481206
1,2.261555831,9.167133814
1,2.479022264,18.15421099
0.666666667,4.687704126,25.21746021
1,2.259002368,14.00737699
0.833333333,6.499641577,16.76796234
1,3.710755547,13.77122063
1,8.979466836,7.701088898
