measure,method,bank,final_width_norm,mean_width_norm,final_width_original,mean_width_original,width_norm_5,width_original_5,width_norm_10,width_original_10,width_norm_20,width_original_20,width_norm_30,width_original_30,width_norm_48,width_original_48
Interception_Rate,e_value_constant_0.25,none,0.45999999999999996,0.7645833333333334,0.45999999999999996,0.7645833333333334,0.96,0.96,0.96,0.96,0.96,0.96,0.6799999999999999,0.6799999999999999,0.45999999999999996,0.45999999999999996
Interception_Rate,e_value_constant_0.5,none,0.29999999999999993,0.5708333333333332,0.29999999999999993,0.5708333333333332,0.96,0.96,0.96,0.96,0.56,0.56,0.41999999999999993,0.41999999999999993,0.29999999999999993,0.29999999999999993
Interception_Rate,e_value_wsr,none,0.17999999999999994,0.3854166666666666,0.17999999999999994,0.3854166666666666,0.96,0.96,0.5,0.5,0.29999999999999993,0.29999999999999993,0.24,0.24,0.17999999999999994,0.17999999999999994
Interception_Rate,empirical_bernstein,none,0.38362948410308606,0.6800172857073147,0.38362948410308606,0.6800172857073147,1.0,1.0,1.0,1.0,0.7244155117030024,0.7244155117030024,0.5375459511014511,0.5375459511014511,0.38362948410308606,0.38362948410308606
Interception_Rate,hoeffding,none,0.33491395784158806,0.4914919682470249,0.33491395784158806,0.4914919682470249,0.807361461908305,0.807361461908305,0.5794694083467375,0.5794694083467375,0.4620140643041526,0.4620140643041526,0.4035098340843649,0.4035098340843649,0.33491395784158806,0.33491395784158806
Interception_Rate,sequential_t_test,none,0.2165460341353389,0.3980626783324907,0.2165460341353389,0.3980626783324907,0.9316553471384549,0.9316553471384549,0.4610606286457828,0.4610606286457828,0.3641690488684268,0.3641690488684268,0.30172379099272617,0.30172379099272617,0.2165460341353389,0.2165460341353389
Interception_Rate,sim2real,Sim_10080,0.14812499999999995,0.3305729166666667,0.14812499999999995,0.3305729166666667,0.7309375,0.7309375,0.4253125,0.4253125,0.2849999999999999,0.2849999999999999,0.21124999999999994,0.21124999999999994,0.14812499999999995,0.14812499999999995
Interception_Rate,sim2real,Sim_252,0.1412500000000001,0.3290234375,0.1412500000000001,0.3290234375,0.6671875,0.6671875,0.43781249999999994,0.43781249999999994,0.28937499999999994,0.28937499999999994,0.20500000000000007,0.20500000000000007,0.1412500000000001,0.1412500000000001
Interception_Rate,sim2real,Sim_35,0.14,0.33,0.14,0.33,0.69,0.69,0.44999999999999996,0.44999999999999996,0.2799999999999999,0.2799999999999999,0.20000000000000007,0.20000000000000007,0.14,0.14
Interception_Rate,sim2real,Sim_756,0.15062500000000012,0.3327213541666667,0.15062500000000012,0.3327213541666667,0.6609375,0.6609375,0.4359375,0.4359375,0.29437500000000005,0.29437500000000005,0.2124999999999999,0.2124999999999999,0.15062500000000012,0.15062500000000012
Interception_Rate,sim2real,Sim_7_biased,0.6399999999999999,0.7089583333333334,0.6399999999999999,0.7089583333333334,0.81,0.81,0.75,0.75,0.71,0.71,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999
Interception_Rate,t_test,none,0.09222008460682996,0.21720462664163942,0.09222008460682996,0.21720462664163942,0.4698219640387582,0.4698219640387582,0.2624179349075153,0.2624179349075153,0.1787707414637616,0.1787707414637616,0.13047566410823364,0.13047566410823364,0.09222008460682996,0.09222008460682996
Interception_Rate,vincent,gap_0.05,0.30616952910767303,0.4542343380665121,0.30616952910767303,0.4542343380665121,0.6978229261230463,0.6978229261230463,0.5553552974930301,0.5553552974930301,0.41994213866454255,0.41994213866454255,0.35621254215265863,0.35621254215265863,0.30616952910767303,0.30616952910767303
Interception_Rate,vincent,gap_0.1,0.3609465606811362,0.5046951065510018,0.3609465606811362,0.5046951065510018,0.7436598659843046,0.7436598659843046,0.6052879341094781,0.6052879341094781,0.47383857596779655,0.47383857596779655,0.4106809972791443,0.4106809972791443,0.3609465606811362,0.3609465606811362
Interception_Rate,vincent,gap_0.2,0.4685522362008605,0.6030795678966167,0.4685522362008605,0.6030795678966167,0.8348945252813835,0.8348945252813835,0.7026676016961803,0.7026676016961803,0.5771656317884394,0.5771656317884394,0.5173249975671852,0.5173249975671852,0.4685522362008605,0.4685522362008605
Interception_Rate,vincent,gap_0.3,0.5703731651669742,0.694465059867341,0.5703731651669742,0.694465059867341,0.9206019212957921,0.9206019212957921,0.7934177666062303,0.7934177666062303,0.6733963756112197,0.6733963756112197,0.6174206338375094,0.6174206338375094,0.5703731651669742,0.5703731651669742
Interception_Rate,z_test,none,0.0898465997674216,0.18018648322135156,0.0898465997674216,0.18018648322135156,0.38094852353736863,0.38094852353736863,0.2273624970834951,0.2273624970834951,0.1674057276219667,0.1674057276219667,0.1250361315145121,0.1250361315145121,0.0898465997674216,0.0898465997674216
Search_Time,e_value_constant_0.25,none,0.6599999999999999,0.8891666666666667,7.919999999999999,10.670000000000002,0.96,11.52,0.96,11.52,0.96,11.52,0.9,10.8,0.6599999999999999,7.919999999999999
Search_Time,e_value_constant_0.5,none,0.36,0.6854166666666667,4.32,8.225,0.96,11.52,0.96,11.52,0.7999999999999999,9.6,0.56,6.720000000000001,0.36,4.32
Search_Time,e_value_wsr,none,0.2,0.3966666666666667,2.4000000000000004,4.760000000000001,0.96,11.52,0.6,7.199999999999999,0.30000000000000004,3.6000000000000005,0.24,2.88,0.2,2.4000000000000004
Search_Time,empirical_bernstein,none,0.5132937036982095,0.8138625711439383,6.159524444378514,9.766350853727259,1.0,12.0,1.0,12.0,0.9486711247967107,11.384053497560528,0.7595016406118935,9.114019687342722,0.5132937036982095,6.159524444378514
