real_set,method,bank,n,coverage
Real_100,e_value_constant_0.25,none,10,1.0
Real_100,e_value_constant_0.25,none,20,1.0
Real_100,e_value_constant_0.25,none,50,1.0
Real_100,e_value_constant_0.25,none,100,1.0
Real_100,e_value_constant_0.25,none,200,0.9992
Real_100,e_value_constant_0.5,none,10,1.0
Real_100,e_value_constant_0.5,none,20,1.0
Real_100,e_value_constant_0.5,none,50,0.9992
Real_100,e_value_constant_0.5,none,100,0.9983
Real_100,e_value_constant_0.5,none,200,0.996
Real_100,e_value_wsr,none,10,0.995
Real_100,e_value_wsr,none,20,0.9909
Real_100,e_value_wsr,none,50,0.9855
Real_100,e_value_wsr,none,100,0.9822
Real_100,e_value_wsr,none,200,0.9824
Real_100,empirical_bernstein,none,10,1.0
Real_100,empirical_bernstein,none,20,1.0
Real_100,empirical_bernstein,none,50,1.0
Real_100,empirical_bernstein,none,100,1.0
Real_100,empirical_bernstein,none,200,1.0
Real_100,hoeffding,none,10,0.9997
Real_100,hoeffding,none,20,1.0
Real_100,hoeffding,none,50,0.9998
Real_100,hoeffding,none,100,1.0
Real_100,hoeffding,none,200,0.999
Real_100,sequential_t_test,none,10,0.9451
Real_100,sequential_t_test,none,20,0.9759
Real_100,sequential_t_test,none,50,0.9949
Real_100,sequential_t_test,none,100,0.9982
Real_100,sequential_t_test,none,200,1.0
Real_100,sim2real,Ideal,10,0.9994
Real_100,sim2real,Ideal,20,0.998
Real_100,sim2real,Ideal,50,0.9963
Real_100,sim2real,Ideal,100,0.9954
Real_100,sim2real,Ideal,200,0.9948
Real_100,sim2real,Sim_10080,10,0.9954
Real_100,sim2real,Sim_10080,20,0.9893
Real_100,sim2real,Sim_10080,50,0.9812
Real_100,sim2real,Sim_10080,100,0.9764
Real_100,sim2real,Sim_10080,200,0.9739
Real_100,sim2real,Sim_252,10,0.9904
Real_100,sim2real,Sim_252,20,0.9842
Real_100,sim2real,Sim_252,50,0.9642
Real_100,sim2real,Sim_252,100,0.9623
Real_100,sim2real,Sim_252,200,0.9633
Real_100,sim2real,Sim_35,10,0.9962
Real_100,sim2real,Sim_35,20,0.9906
Real_100,sim2real,Sim_35,50,0.9749
Real_100,sim2real,Sim_35,100,0.9697
Real_100,sim2real,Sim_35,200,0.968
Real_100,sim2real,Sim_756,10,0.9963
Real_100,sim2real,Sim_756,20,0.9926
Real_100,sim2real,Sim_756,50,0.9843
Real_100,sim2real,Sim_756,100,0.9823
Real_100,sim2real,Sim_756,200,0.9765
Real_100,sim2real,Sim_7_biased,10,0.9948
Real_100,sim2real,Sim_7_biased,20,0.9901
Real_100,sim2real,Sim_7_biased,50,0.9784
Real_100,sim2real,Sim_7_biased,100,0.9709
Real_100,sim2real,Sim_7_biased,200,0.9693
Real_100,t_test,none,10,0.8712
Real_100,t_test,none,20,0.883
Real_100,t_test,none,50,0.9415
Real_100,t_test,none,100,0.9631
Real_100,t_test,none,200,0.9552
Real_100,vincent,Ideal,10,0.9997
Real_100,vincent,Ideal,20,1.0
Real_100,vincent,Ideal,50,0.9998
Real_100,vincent,Ideal,100,1.0
Real_100,vincent,Ideal,200,0.9989
Real_100,vincent,gap_0.05,10,0.9791
Real_100,vincent,gap_0.05,20,0.9421
Real_100,vincent,gap_0.05,50,0.847
Real_100,vincent,gap_0.05,100,0.7027
Real_100,vincent,gap_0.05,200,0.5119
Real_100,vincent,gap_0.1,10,0.991
Real_100,vincent,gap_0.1,20,0.9634
Real_100,vincent,gap_0.1,50,0.9116
Real_100,vincent,gap_0.1,100,0.8557
Real_100,vincent,gap_0.1,200,0.7649
Real_100,vincent,gap_0.2,10,1.0
Real_100,vincent,gap_0.2,20,0.9847
