real_set,method,bank,final_width,mean_width,final_coverage,anytime_coverage,width_10,width_20,width_50,width_100,width_200,n_runs
Real_100,e_value_constant_0.25,none,0.18254,0.4394530400000001,0.9996,0.9992,1.0,0.9846440000000001,0.581534,0.32449,0.18254,10000
Real_100,e_value_constant_0.5,none,0.12484200000000004,0.30355126000000004,0.9991,0.996,0.9941960000000001,0.717722,0.34229,0.19818000000000002,0.12484200000000004,10000
Real_100,e_value_wsr,none,0.12951600000000002,0.23666401000000006,0.9985,0.983,0.6056739999999999,0.385574,0.24159,0.17496800000000004,0.12951600000000002,10000
Real_100,empirical_bernstein,none,0.16867985843437008,0.38958437255739353,1.0,1.0,0.9981245094307376,0.8570989585503388,0.48290329159450274,0.2855055186788117,0.16867985843437008,10000
Real_100,hoeffding,none,0.1897108505284921,0.3265135218069864,0.999,0.9931,0.7143285956098246,0.5506875539407332,0.36742749341630326,0.26520825078493043,0.1897108505284921,10000
Real_100,sequential_t_test,none,0.1526715157678911,0.2529845621038987,1.0,0.7642,0.5530464490918386,0.41346334805954793,0.27666873325277547,0.20588142654377833,0.1526715157678911,10000
Real_100,sim2real,Ideal,0.13564250000000003,0.211484915625,0.9995,0.9944,0.454104,0.3110493125,0.21002599999999996,0.16523443750000003,0.13564250000000003,10000
Real_100,sim2real,Sim_10080,0.11447418749999999,0.2007660678125,0.9992,0.9629,0.4571806875,0.319948375,0.2059538125,0.15250024999999998,0.11447418749999999,10000
Real_100,sim2real,Sim_252,0.11109575,0.19608614875,0.9989,0.9769,0.4529258749999999,0.3115525,0.2001609375,0.1479148125,0.11109575,10000
Real_100,sim2real,Sim_35,0.1310708125,0.213252130625,0.9988,0.9737,0.470673875,0.3282095625,0.215276125,0.1649080625,0.1310708125,10000
Real_100,sim2real,Sim_756,0.10899312500000001,0.19417982625,0.9991,0.9818,0.45611825,0.30940818749999993,0.19699318749999997,0.1451690625,0.10899312500000001,10000
Real_100,sim2real,Sim_7_biased,0.298427375,0.3582568084375001,0.996,0.9663,0.5787551249999999,0.444269375,0.35314293750000003,0.317821,0.298427375,10000
Real_100,t_test,none,0.06059044261717388,0.11752922328316229,0.9132,0.4149,0.28258202139700495,0.1966871476881128,0.12195642054995003,0.0856573894929052,0.06059044261717388,10000
Real_100,vincent,Ideal,0.1549520458097125,0.2639974749867161,0.999,0.9927,0.5667499420782457,0.43206995817587596,0.2915256430776593,0.21336142890308152,0.1549520458097125,10000
Real_100,vincent,gap_0.05,0.2351366276412533,0.3416821033166136,0.5119,0.4659,0.6382018506154566,0.5085904500384663,0.36983162090350846,0.29267010315635905,0.2351366276412533,10000
Real_100,vincent,gap_0.1,0.3078515056603769,0.40848747417295644,0.7649,0.7423,0.6876383172026106,0.5669921980930182,0.435927083335578,0.3625498697098752,0.3078515056603769,10000
Real_100,vincent,gap_0.2,0.44336926062823767,0.5325816030576326,0.9181,0.9168,0.777521463963616,0.6730632467825055,0.5583972692293694,0.49302179006833946,0.44336926062823767,10000
Real_100,vincent,gap_0.3,0.5662771133091238,0.6433292627442322,0.96,0.96,0.854600603222875,0.76598187168366,0.666705517668644,0.6100806941992541,0.5662771133091238,10000
Real_100,z_test,none,0.13763598938682617,0.2444225158989647,0.993,0.9561,0.5517545731852559,0.4117823884459851,0.26966829638973333,0.19337187402117198,0.13763598938682617,10000
Real_20,e_value_constant_0.25,none,0.17982000000000004,0.43875970000000003,1.0,1.0,1.0,0.98835,0.5771,0.32644999999999996,0.17982000000000004,2000
Real_20,e_value_constant_0.5,none,0.11968000000000002,0.30001965,1.0,1.0,0.99529,0.7179200000000001,0.34223999999999993,0.19271000000000005,0.11968000000000002,2000
Real_20,e_value_wsr,none,0.12204000000000002,0.22473255,1.0,0.9915,0.5878,0.36274,0.22385000000000002,0.16523000000000002,0.12204000000000002,2000
Real_20,empirical_bernstein,none,0.16406190131565382,0.3837909359084111,1.0,1.0,0.9979496792742032,0.8676779593579835,0.4711101329603905,0.2795106895326397,0.16406190131565382,2000
Real_20,hoeffding,none,0.18982794430738453,0.3283855161452874,1.0,0.997,0.7174258659754997,0.5476950870437914,0.372573650664334,0.2672891245084023,0.18982794430738453,2000
Real_20,sequential_t_test,none,0.14468585701345862,0.24242025853879703,1.0,0.785,0.5362246400610966,0.38882935356309395,0.2611776705980444,0.19641548520435134,0.14468585701345862,2000
Real_20,sim2real,Ideal,0.09657843750000002,0.174882228125,1.0,0.998,0.41596218749999997,0.27393937500000004,0.1731415625,0.12796125,0.09657843750000002,2000
Real_20,sim2real,Sim_10080,0.10686312500000002,0.188717665625,1.0,0.98,0.43336906249999996,0.29649281250000004,0.192578125,0.1414590625,0.10686312500000002,2000
Real_20,sim2real,Sim_252,0.10247187499999998,0.1860491234375,0.9995,0.9795,0.43511500000000003,0.298154375,0.18949625,0.138765625,0.10247187499999998,2000
Real_20,sim2real,Sim_35,0.0990653125,0.18376778124999998,0.999,0.988,0.44087656249999996,0.29859375,0.18610250000000003,0.1359034375,0.0990653125,2000
Real_20,sim2real,Sim_756,0.10087125000000001,0.18406029375,1.0,0.984,0.440223125,0.294651875,0.1847228125,0.1358909375,0.10087125000000001,2000
Real_20,sim2real,Sim_7_biased,0.26698093749999996,0.3276681375,0.9735,0.9425,0.5504906250000001,0.41484968749999995,0.3216165625,0.2861021875,0.26698093749999996,2000
Real_20,t_test,none,0.05779126031288227,0.11325704994454455,0.9385,0.523,0.2654943388119616,0.18453688664415893,0.11566629055614078,0.08221647491107811,0.05779126031288227,2000
Real_20,vincent,Ideal,0.1575432259762861,0.2648751745133213,1.0,0.997,0.5577025081158965,0.42753257712521275,0.29269069710243634,0.21572732703663952,0.1575432259762861,2000
