real_set,method,bank,n,mean_width
Real_100,e_value_constant_0.25,none,10,1.0
Real_100,e_value_constant_0.25,none,20,0.9846440000000001
Real_100,e_value_constant_0.25,none,50,0.581534
Real_100,e_value_constant_0.25,none,100,0.32449
Real_100,e_value_constant_0.25,none,200,0.18254
Real_100,e_value_constant_0.5,none,10,0.9941960000000001
Real_100,e_value_constant_0.5,none,20,0.717722
Real_100,e_value_constant_0.5,none,50,0.34229
Real_100,e_value_constant_0.5,none,100,0.19818000000000002
Real_100,e_value_constant_0.5,none,200,0.12484200000000004
Real_100,e_value_wsr,none,10,0.6056739999999999
Real_100,e_value_wsr,none,20,0.385574
Real_100,e_value_wsr,none,50,0.24159
Real_100,e_value_wsr,none,100,0.17496800000000004
Real_100,e_value_wsr,none,200,0.12951600000000002
Real_100,empirical_bernstein,none,10,0.9981245094307376
Real_100,empirical_bernstein,none,20,0.8570989585503388
Real_100,empirical_bernstein,none,50,0.48290329159450274
Real_100,empirical_bernstein,none,100,0.2855055186788117
Real_100,empirical_bernstein,none,200,0.16867985843437008
Real_100,hoeffding,none,10,0.7143285956098246
Real_100,hoeffding,none,20,0.5506875539407332
Real_100,hoeffding,none,50,0.36742749341630326
Real_100,hoeffding,none,100,0.26520825078493043
Real_100,hoeffding,none,200,0.1897108505284921
Real_100,sequential_t_test,none,10,0.5530464490918386
Real_100,sequential_t_test,none,20,0.41346334805954793
Real_100,sequential_t_test,none,50,0.27666873325277547
Real_100,sequential_t_test,none,100,0.20588142654377833
Real_100,sequential_t_test,none,200,0.1526715157678911
Real_100,sim2real,Ideal,10,0.454104
Real_100,sim2real,Ideal,20,0.3110493125
Real_100,sim2real,Ideal,50,0.21002599999999996
Real_100,sim2real,Ideal,100,0.16523443750000003
Real_100,sim2real,Ideal,200,0.13564250000000003
Real_100,sim2real,Sim_10080,10,0.4571806875
Real_100,sim2real,Sim_10080,20,0.319948375
Real_100,sim2real,Sim_10080,50,0.2059538125
Real_100,sim2real,Sim_10080,100,0.15250024999999998
Real_100,sim2real,Sim_10080,200,0.11447418749999999
Real_100,sim2real,Sim_252,10,0.4529258749999999
Real_100,sim2real,Sim_252,20,0.3115525
Real_100,sim2real,Sim_252,50,0.2001609375
Real_100,sim2real,Sim_252,100,0.1479148125
Real_100,sim2real,Sim_252,200,0.11109575
Real_100,sim2real,Sim_35,10,0.470673875
Real_100,sim2real,Sim_35,20,0.3282095625
Real_100,sim2real,Sim_35,50,0.215276125
Real_100,sim2real,Sim_35,100,0.1649080625
Real_100,sim2real,Sim_35,200,0.1310708125
Real_100,sim2real,Sim_756,10,0.45611825
Real_100,sim2real,Sim_756,20,0.30940818749999993
Real_100,sim2real,Sim_756,50,0.19699318749999997
Real_100,sim2real,Sim_756,100,0.1451690625
Real_100,sim2real,Sim_756,200,0.10899312500000001
Real_100,sim2real,Sim_7_biased,10,0.5787551249999999
Real_100,sim2real,Sim_7_biased,20,0.444269375
Real_100,sim2real,Sim_7_biased,50,0.35314293750000003
Real_100,sim2real,Sim_7_biased,100,0.317821
Real_100,sim2real,Sim_7_biased,200,0.298427375
Real_100,t_test,none,10,0.28258202139700495
Real_100,t_test,none,20,0.1966871476881128
Real_100,t_test,none,50,0.12195642054995003
Real_100,t_test,none,100,0.0856573894929052
Real_100,t_test,none,200,0.06059044261717388
Real_100,vincent,Ideal,10,0.5667499420782457
Real_100,vincent,Ideal,20,0.43206995817587596
Real_100,vincent,Ideal,50,0.2915256430776593
Real_100,vincent,Ideal,100,0.21336142890308152
Real_100,vincent,Ideal,200,0.1549520458097125
Real_100,vincent,gap_0.05,10,0.6382018506154566
Real_100,vincent,gap_0.05,20,0.5085904500384663
Real_100,vincent,gap_0.05,50,0.36983162090350846
Real_100,vincent,gap_0.05,100,0.29267010315635905
Real_100,vincent,gap_0.05,200,0.2351366276412533
Real_100,vincent,gap_0.1,10,0.6876383172026106
Real_100,vincent,gap_0.1,20,0.5669921980930182
Real_100,vincent,gap_0.1,50,0.435927083335578
Real_100,vincent,gap_0.1,100,0.3625498697098752
Real_100,vincent,gap_0.1,200,0.3078515056603769
Real_100,vincent,gap_0.2,10,0.777521463963616
Real_100,vincent,gap_0.2,20,0.6730632467825055
Real_100,vincent,gap_0.2,50,0.5583972692293694
Real_100,vincent,gap_0.2,100,0.49302179006833946
Real_100,vincent,gap_0.2,200,0.44336926062823767
Real_100,vincent,gap_0.3,10,0.854600603222875
Real_100,vincent,gap_0.3,20,0.76598187168366
Real_100,vincent,gap_0.3,50,0.666705517668644
Real_100,vincent,gap_0.3,100,0.6100806941992541
Real_100,vincent,gap_0.3,200,0.5662771133091238
Real_100,z_test,none,10,0.5517545731852559
Real_100,z_test,none,20,0.4117823884459851
Real_100,z_test,none,50,0.26966829638973333
Real_100,z_test,none,100,0.19337187402117198
Real_100,z_test,none,200,0.13763598938682617
Real_20,e_value_constant_0.25,none,10,1.0
Real_20,e_value_constant_0.25,none,20,0.98835
Real_20,e_value_constant_0.25,none,50,0.5771
Real_20,e_value_constant_0.25,none,100,0.32644999999999996
Real_20,e_value_constant_0.25,none,200,0.17982000000000004
Real_20,e_value_constant_0.5,none,10,0.99529
Real_20,e_value_constant_0.5,none,20,0.7179200000000001
Real_20,e_value_constant_0.5,none,50,0.34223999999999993
Real_20,e_value_constant_0.5,none,100,0.19271000000000005
Real_20,e_value_constant_0.5,none,200,0.11968000000000002
Real_20,e_value_wsr,none,10,0.5878
Real_20,e_value_wsr,none,20,0.36274
Real_20,e_value_wsr,none,50,0.22385000000000002
Real_20,e_value_wsr,none,100,0.16523000000000002
Real_20,e_value_wsr,none,200,0.12204000000000002
Real_20,empirical_bernstein,none,10,0.9979496792742032
Real_20,empirical_bernstein,none,20,0.8676779593579835
Real_20,empirical_bernstein,none,50,0.4711101329603905
Real_20,empirical_bernstein,none,100,0.2795106895326397
Real_20,empirical_bernstein,none,200,0.16406190131565382
Real_20,hoeffding,none,10,0.7174258659754997
Real_20,hoeffding,none,20,0.5476950870437914
Real_20,hoeffding,none,50,0.372573650664334
Real_20,hoeffding,none,100,0.2672891245084023
Real_20,hoeffding,none,200,0.18982794430738453
Real_20,sequential_t_test,none,10,0.5362246400610966
Real_20,sequential_t_test,none,20,0.38882935356309395
Real_20,sequential_t_test,none,50,0.2611776705980444
Real_20,sequential_t_test,none,100,0.19641548520435134
Real_20,sequential_t_test,none,200,0.14468585701345862
Real_20,sim2real,Ideal,10,0.41596218749999997
Real_20,sim2real,Ideal,20,0.27393937500000004
Real_20,sim2real,Ideal,50,0.1731415625
Real_20,sim2real,Ideal,100,0.12796125
Real_20,sim2real,Ideal,200,0.09657843750000002
Real_20,sim2real,Sim_10080,10,0.43336906249999996
Real_20,sim2real,Sim_10080,20,0.29649281250000004
Real_20,sim2real,Sim_10080,50,0.192578125
